City,State,ZIP,county
Montgomery,AL,36107,Montgomery County
Atlanta,GA,30303,Fulton County
Atlanta,GA,30324,DeKalb County
Atlanta,GA,30336,Fulton County
Houston,TX,77007,Harris County
Fort Smith,AR,72903,Sebastian County
East Boston,MA,02128,Suffolk County
Everett,MA,02149,Middlesex County
Brooklyn,NY,11211,Kings County
Brooklyn,NY,11236,Kings County
New York,NY,10001,New York County
New York,NY,10009,New York County
Bronx,NY,10462,Bronx County
Rye,NY,10580,Westchester County
Queens,NY,11354,Queens County
Indianapolis,IN,46202,Marion County
Indianapolis,IN,46225,Marion County
Cheyenne,WY,82001,Laramie County
Hartford,CT,06114,Hartford County
Baton Rouge,LA,70815,East Baton Rouge Parish
Santa Fe,NM,87507,Santa Fe County
Overland Park,KS,66214,Johnson County
Boise,ID,83709,Ada County
Pocatello,ID,83202,Bannock County
Idaho Falls,ID,83401,Bonneville County
Nampa,ID,83651,Canyon County
Boise,ID,83705,Ada County
Topeka,KS,66603,Shawnee County
St. Louis,MO,63119,St. Louis County
Brentwood,NY,11717,Suffolk County
Hicksville,NY,11801,Nassau County
Irving,TX,75061,Dallas County
Dallas,TX,75207,Dallas County
Garland,TX,75042,Dallas County
West Jordan,UT,84088,Salt Lake County
Salt Lake City,UT,84104,Salt Lake County
Salt Lake City,UT,84104,Salt Lake County
Salt Lake City,UT,84119,Salt Lake County
Logan,UT,84321,Cache County
Price,UT,84501,Carbon County
Richfield,UT,84701,Sevier County
Cedar City,UT,84721,Iron County
Mobile,AL,36606,Mobile County
Minneapolis,MN,55419,Hennepin County
Omaha,NE,68106,Douglas County
Castle Rock,CO,80104,Douglas County
Denver,CO,80249,Adams County
Menands,NY,12204,Albany County
Portland,OR,97220,Multnomah County
Portland,OR,97266,Multnomah County
Salem,OR,97303,Marion County
Salem,OR,97301,Marion County
Oklahoma City,OK,73107,Oklahoma County
Oklahoma City,OK,73108,Oklahoma County
Oklahoma City,OK,73118,Oklahoma County
Oklahoma City,OK,73129,Cleveland County
Ardmore,OK,73401,Carter County
Enid,OK,73703,Garfield County
Sand Springs,OK,74063,Creek County
Stroud,OK,74079,Creek County
Tulsa,OK,74112,Tulsa County
Tulsa,OK,74115,Osage County
Tulsa,OK,74107,Creek County
Muskogee,OK,74401,Muskogee County
Ponca City,OK,74601,Kay County
Shawnee,OK,74801,Pottawatomie County
Phoenixville,PA,19460,Chester County
Plymouth Meeting,PA,19462,Montgomery County
Grass Valley,CA,95949,Nevada County
San Ramon,CA,94583,Contra Costa County
Santa Cruz,CA,95062,Santa Cruz County
Bakersfield,CA,93313,Kern County
Fresno,CA,93725,Fresno County
Salinas,CA,93901,Monterey County
San Carlos,CA,94070,San Mateo County
San Francisco,CA,94110,San Francisco County
Concord,CA,94518,Contra Costa County
Hayward,CA,94545,Alameda County
Richmond,CA,94804,Contra Costa County
San Rafael,CA,94901,Marin County
Cupertino,CA,95014,Santa Clara County
San Jose,CA,95126,Santa Clara County
Stockton,CA,95204,San Joaquin County
Santa Rosa,CA,95401,Sonoma County
Auburn,CA,95603,Placer County
Davis,CA,95616,Solano County
Sacramento,CA,95816,Sacramento County
Sacramento,CA,95826,Sacramento County
Anderson,CA,96007,Shasta County
Milton,FL,32570,Santa Rosa County
Orlando,FL,32801,Orange County
North Miami Beach,FL,33162,Miami-Dade County
Greenville,SC,29607,Greenville County
Raleigh,NC,27616,Wake County
Chula Vista,CA,91910,San Diego County
Chula Vista,CA,91911,San Diego County
Carlsbad,CA,92008,San Diego County
Oceanside,CA,92058,San Diego County
Poway,CA,92064,San Diego County
San Diego,CA,92121,San Diego County
San Diego,CA,92123,San Diego County
San Diego,CA,92111,San Diego County
Moreno Valley,CA,92551,Riverside County
Los Angeles,CA,90033,Los Angeles County
Santa Monica,CA,90404,Los Angeles County
Whittier,CA,90601,Los Angeles County
Pico Rivera,CA,90660,Los Angeles County
Los Angeles,CA,90731,Los Angeles County
Sun Valley,CA,91352,Los Angeles County
Los Angeles,CA,91406,Los Angeles County
Covina,CA,91723,Los Angeles County
Chatsworth,CA,91311,Los Angeles County
Diamond Bar,CA,91765,Los Angeles County
Thousand Palms,CA,92276,Riverside County
Riverside,CA,92507,Riverside County
Garden Grove,CA,92841,Orange County
Garden Grove,CA,92843,Orange County
Irvine,CA,92618,Orange County
Oxnard,CA,93030,Ventura County
San Luis Obispo,CA,93401,San Luis Obispo County
Fort Smith,AR,72903,Sebastian County
Phoenix,AZ,85015,Maricopa County
Scottsdale,AZ,85258,Maricopa County
Tucson,AZ,85714,Pima County
Tucson,AZ,85714,Pima County
North Las Vegas,NV,89124,Clark County
Norfolk,VA,23502,Norfolk city
Newport News,VA,23606,Newport News city
Derwood,MD,20855,Montgomery County
Pullman,WA,99163,Whitman County
Spokane,WA,99202,Spokane County
Clarkston,WA,99403,Asotin County
Memphis,TN,38108,Shelby County
Gardena,CA,90745,Los Angeles County
Los Angeles,CA,90045,Los Angeles County
Garden City,NY,11530,Nassau County
Derwood,MD,20855,Montgomery County
Okmulgee,OK,74447,Okfuskee County
Phoenix,AZ,85029,Maricopa County
Atlanta,GA,30318,Fulton County
Chico,CA,95928,Butte County
Vacaville,CA,95687,Solano County
Davis,CA,95616,Solano County
Indio,CA,92201,Riverside County
Downey,CA,90241,Los Angeles County
Anaheim,CA,92806,Orange County
San Bernardino,CA,92411,San Bernardino County
Compton,CA,90221,Los Angeles County
Riverside,CA,92521,Riverside County
Ontario,CA,91761,San Bernardino County
Anaheim,CA,92805,Orange County
Palm Springs,CA,92262,Riverside County
Alhambra,CA,91801,Los Angeles County
Twentynine Palms,CA,92278,San Bernardino County
Lincoln,NE,68521,Lancaster County
Lincoln,NE,68508,Lancaster County
Grand Island,NE,68803,Hall County
Watertown,SD,57201,Codington County
Madison,SD,57042,Lake County
Lincoln,NE,68512,Lancaster County
Ames,IA,50010,Story County
West Burlington,IA,52655,Des Moines County
Jefferson City,MO,65109,Cole County
Rapid City,SD,57709,Pennington County
Sun Valley,CA,91352,Los Angeles County
Los Angeles,CA,90024,Los Angeles County
Rosemead,CA,91770,Los Angeles County
Los Angeles,CA,90015,Los Angeles County
Los Angeles,CA,90012,Los Angeles County
Long Beach,CA,90803,Los Angeles County
Sacramento,CA,95814,Sacramento County
Wilmington,CA,90744,Los Angeles County
Sylmar,CA,91342,Los Angeles County
Los Angeles,CA,90012,Los Angeles County
Los Angeles,CA,90016,Los Angeles County
El Monte,CA,91731,Los Angeles County
Los Angeles,CA,90013,Los Angeles County
Phoenix,AZ,85009,Maricopa County
Los Angeles,CA,90045,Los Angeles County
Bloomington,IL,61704,McLean County
Mankato,MN,56001,Blue Earth County
La Jolla,CA,92037,San Diego County
Escondido,CA,92027,San Diego County
Sepulveda,CA,91343,Los Angeles County
Riverside,CA,92503,Riverside County
Pasadena,CA,91103,Los Angeles County
Pasadena,CA,91105,Los Angeles County
Pasadena,CA,91105,Los Angeles County
Pasadena,CA,91101,Los Angeles County
South Pasadena,CA,91030,Los Angeles County
Phoenix,AZ,85019,Maricopa County
Hanford,CA,93230,Kings County
Ontario,CA,91761,San Bernardino County
Tulare,CA,93274,Kings County
Denver,CO,80249,Adams County
Hillsboro,OR,97124,Multnomah County
Rochester,MN,55901,Olmsted County
Broken Arrow,OK,74012,Tulsa County
Rockford,IL,61109,Ogle County
Minneapolis,MN,55415,Hennepin County
Norwich,CT,06360,New London County
Long Beach,CA,90802,Los Angeles County
Los Angeles,CA,90045,Los Angeles County
Northridge,CA,91324,Los Angeles County
Ontario,CA,91764,San Bernardino County
Oxnard,CA,93030,Ventura County
Palm Springs,CA,92262,Riverside County
Pleasanton,CA,94588,Alameda County
Riverside,CA,92509,Riverside County
Sacramento,CA,95837,Sacramento County
Santa Monica,CA,90405,Los Angeles County
Santa Monica,CA,90405,Los Angeles County
Sherman Oaks,CA,91423,Los Angeles County
Universal City,CA,91608,Los Angeles County
Van Nuys,CA,91405,Los Angeles County
Downey,CA,90241,Los Angeles County
San Francisco,CA,94133,San Francisco County
Sacramento,CA,95815,Sacramento County
Dallas,TX,75211,Dallas County
Norman,OK,73069,Cleveland County
Pauls Valley,OK,73075,Garvin County
Davenport,OK,74026,Lincoln County
Sapulpa,OK,74066,Creek County
Durant,OK,74701,Bryan County
Ardmore,PA,19003,Delaware County
Springfield,IL,62703,Sangamon County
Phoenix,AZ,85009,Maricopa County
Victorville,CA,92392,San Bernardino County
Auburn,CA,95603,Placer County
Bakersfield,CA,93301,Kern County
Martinez,CA,94553,Contra Costa County
Roseville,CA,95747,Placer County
Sacramento,CA,95828,Sacramento County
Fountain Valley,CA,92708,Orange County
El Monte,CA,91731,Los Angeles County
Whittier,CA,90602,Los Angeles County
Santa Barbara,CA,93103,Santa Barbara County
Reedley,CA,93654,Fresno County
Delano,CA,93215,Kern County
Simi Valley,CA,93065,Ventura County
San Diego,CA,92101,San Diego County
Detroit,MI,48227,Wayne County
Jefferson City,MO,65101,Callaway County
Bismarck,ND,58501,Burleigh County
Elkhorn,WI,53121,Walworth County
Amarillo,TX,79124,Potter County
Caribou,ME,04736,Aroostook County
South Norwalk,CT,06854,Fairfield County
West Orange,NJ,07052,Essex County
Lodi,NJ,07644,Bergen County
Monticello,NY,12701,Sullivan County
Buffalo,NY,14210,Erie County
Williamstown,PA,17098,Dauphin County
Federalsburg,MD,21632,Caroline County
Richmond,VA,23234,Chesterfield County
Winston-Salem,NC,27127,Davidson County
Greensboro,NC,27406,Guilford County
Belmont,NC,28012,Gaston County
Clinton,NC,28328,Sampson County
Union,SC,29379,Union County
Cartersville,GA,30121,Bartow County
Sharpsburg,GA,30277,Coweta County
Atlanta,GA,30318,Fulton County
Oakwood,GA,30566,Hall County
High Springs,FL,32643,Alachua County
Jacksonville,FL,32211,Duval County
Orlando,FL,32817,Orange County
Eufaula,AL,36027,Barbour County
Anniston,AL,36201,Calhoun County
Piedmont,AL,36272,Calhoun County
Roanoke,AL,36274,Chambers County
Wedowee,AL,36278,Randolph County
Opelika,AL,36804,Lee County
Starkville,MS,39759,Clay County
Taylorsville,MS,39168,Covington County
Newton,MS,39345,Jasper County
Quitman,MS,39355,Clarke County
Waynesboro,MS,39367,Clarke County
Gulfport,MS,39501,Harrison County
Tylertown,MS,39667,Marion County
Bowling Green,KY,42101,Butler County
Swanton,OH,43558,Fulton County
Akron,OH,44319,Summit County
Sidney,OH,45365,Champaign County
Dayton,OH,45424,Greene County
Indianapolis,IN,46217,Marion County
Elkhart,IN,46514,Elkhart County
Greenville,IN,47124,Floyd County
Southgate,MI,48195,Wayne County
Kawkawlin,MI,48631,Bay County
Mt. Pleasant,MI,48858,Isabella County
Vestaburg,MI,48891,Gratiot County
Decatur,MI,49045,Cass County
Cedar Springs,MI,49319,Kent County
Story City,IA,50248,Boone County
Sheldon,IA,51201,Lyon County
Red Oak,IA,51566,Montgomery County
McFarland,WI,53558,Dane County
Madison,WI,53716,Dane County
Adams,WI,53910,Adams County
Beaver Dam,WI,53916,Dodge County
Roberts,WI,54023,St. Croix County
Osceola,WI,54020,Polk County
Antigo,WI,54409,Langlade County
Marshfield,WI,54449,Clark County
Rhinelander,WI,54501,Lincoln County
Ashland,WI,54806,Ashland County
Rice Lake,WI,54868,Barron County
Minneapolis,MN,55412,Hennepin County
Morris,MN,56267,Stevens County
Milbank,SD,57252,Grant County
Chamberlain,SD,57325,Brule County
Huron,SD,57350,Beadle County
Aberdeen,SD,57401,Brown County
Britton,SD,57430,Marshall County
Eagle Butte,SD,57625,Dewey County
Valley City,ND,58072,Barnes County
Cavalier,ND,58220,Pembina County
Laurel,MT,59044,Carbon County
Deer Lodge,MT,59722,Deer Lodge County
Shelby,MT,59474,Toole County
Malta,MT,59538,Phillips County
Roberts,IL,60962,Ford County
Aledo,IL,61231,Mercer County
Galesburg,IL,61401,Knox County
Hardin,IL,62047,Calhoun County
Swansea,IL,62226,St. Clair County
Breese,IL,62230,Clinton County
Mt. Vernon,IL,62864,Jefferson County
Carbondale,IL,62901,Jackson County
Dearborn,MO,64439,Buchanan County
St. Joseph,MO,64504,Buchanan County
Chillicothe,MO,64601,Daviess County
Cuba,MO,65453,Crawford County
Belleville,KS,66935,Cloud County
Newton,KS,67114,Butler County
Salina,KS,67401,Ottawa County
Hutchinson,KS,67501,Reno County
South Hutchinson,KS,67505,Reno County
Liberal,KS,67901,Seward County
Ashland,NE,68003,Cass County
Lexington,NE,68850,Dawson County
Hastings,NE,68901,Adams County
Benkelman,NE,69021,Dundy County
Winnsboro,LA,71295,Franklin Parish
Star City,AR,71667,Cleveland County
Lewisville,AR,71845,Lafayette County
Nashville,AR,71852,Hempstead County
Mena,AR,71953,Polk County
Perryville,AR,72126,Perry County
Searcy,AR,72143,Cleburne County
Pocahontas,AR,72455,Randolph County
Oklahoma City,OK,73160,Cleveland County
Canute,OK,73626,Washita County
Stillwater,OK,74074,Payne County
Muskogee,OK,74401,Muskogee County
Dallas,TX,75241,Dallas County
Paris,TX,75460,Lamar County
Atlanta,TX,75551,Cass County
Bullard,TX,75757,Cherokee County
Palestine,TX,75801,Anderson County
Springtown,TX,76082,Parker County
Burleson,TX,76028,Johnson County
Bowie,TX,76230,Clay County
Gainesville,TX,76240,Cooke County
Rockdale,TX,76567,Milam County
Hillsboro,TX,76645,Hill County
Waco,TX,76706,McLennan County
Coleman,TX,76834,Coleman County
Mason,TX,76856,Gillespie County
San Angelo,TX,76901,Irion County
Damon,TX,77430,Brazoria County
Madisonville,TX,77864,Madison County
Sinton,TX,78387,Bee County
Fredericksburg,TX,78624,Gillespie County
Uvalde,TX,78801,Uvalde County
Fritch,TX,79036,Carson County
Muleshoe,TX,79347,Bailey County
Slaton,TX,79364,Lubbock County
Anson,TX,79501,Jones County
Rule,TX,79547,Haskell County
El Paso,TX,79907,El Paso County
Denver,CO,80221,Adams County
Pine,CO,80470,Jefferson County
Brighton,CO,80601,Adams County
Divide,CO,80814,Teller County
Colorado Springs,CO,80909,El Paso County
Fowler,CO,81039,Crowley County
Lamar,CO,81052,Prowers County
Gunnison,CO,81230,Gunnison County
Casper,WY,82609,Natrona County
Newcastle,WY,82701,Campbell County
Gillette,WY,82716,Campbell County
Sheridan,WY,82801,Sheridan County
Rock Springs,WY,82901,Sweetwater County
Rupert,ID,83350,Cassia County
Driggs,ID,83422,Madison County
Salmon,ID,83467,Lemhi County
Lewiston,ID,83501,Nez Perce County
Caldwell,ID,83607,Canyon County
Richfield,UT,84701,Sevier County
Tucson,AZ,85705,Pima County
Tijeras,NM,87059,Bernalillo County
Santa Fe,NM,87507,Santa Fe County
Deming,NM,88030,Luna County
Lovington,NM,88260,Lea County
Alamogordo,NM,88310,Otero County
Lake Forest,CA,92630,Orange County
Garden Grove,CA,92841,Orange County
Visalia,CA,93292,Tulare County
Patterson,CA,95363,Stanislaus County
